timestamp,neartime,r_x,r_y,r_z,x,y
1573094114.510978,1573094114.524973,149.98477172851562,-29.449600219726562,61.72318649291992,639.0,68.0
1573094114.709982,1573094114.716885,149.13931274414062,-28.072904586791992,61.25862121582031,639.0,73.0
1573094114.822884,1573094114.847146,149.10194396972656,-27.306608200073242,61.59907531738281,639.0,76.0
1573094114.9204788,1573094114.917624,148.28097534179688,-27.465402603149414,61.39070129394531,639.0,73.0
1573094114.9870448,1573094114.981867,148.57269287109375,-27.298076629638672,61.43815231323242,639.0,72.0
1573094115.114756,1573094115.126426,148.0825958251953,-27.022724151611328,61.34092712402344,639.0,74.0
1573094115.17844,1573094115.183228,148.40213012695312,-27.03077507019043,61.29076385498047,639.0,73.0
1573094115.38888,1573094115.38059,148.874755859375,-26.985923767089844,61.75059509277344,639.0,75.0
1573094116.117156,1573094116.115298,148.85226440429688,-25.386110305786133,60.80107879638672,639.0,73.0
1573094116.170418,1573094116.188023,148.70260620117188,-25.740650177001953,60.80107879638672,639.0,68.0
1573094116.298194,1573094116.333374,147.6697540283203,-25.093229293823242,60.87449645996094,639.0,79.0
1573094116.523329,1573094116.531244,145.28529357910156,-24.677541732788086,60.6949462890625,639.0,73.0
1573094117.494277,1573094117.516371,143.34341430664062,-25.54952049255371,61.87704849243164,639.0,77.0
1573094118.111953,1573094118.11425,147.7650909423828,-26.01683235168457,61.74613571166992,639.0,75.0
1573094118.299929,1573094118.324742,147.2914581298828,-26.60182762145996,62.035667419433594,639.0,74.0
1573094118.379107,1573094118.385464,147.15960693359375,-27.233253479003906,61.77052307128906,639.0,74.0
1573094118.501401,1573094118.529777,146.28965759277344,-27.85736083984375,61.24631881713867,639.0,93.0
1573094118.578441,1573094118.585485,145.70547485351562,-28.656110763549805,61.287757873535156,639.0,91.0
1573094121.9018948,1573094121.916241,134.6563262939453,-32.19276428222656,60.156455993652344,639.0,72.0
1573094121.981064,1573094121.982999,134.49429321289062,-32.659603118896484,60.063880920410156,639.0,73.0
1573094122.305662,1573094122.316261,131.6028289794922,-34.7056999206543,59.56476593017578,639.0,75.0
1573094122.38235,1573094122.382776,131.09823608398438,-35.2323112487793,59.713069915771484,639.0,75.0
1573094122.5124788,1573094122.516169,130.40586853027344,-34.81128692626953,60.169898986816406,639.0,78.0
1573094122.620394,1573094122.652889,128.28109741210938,-33.84293746948242,60.20635986328125,639.0,74.0
1573094123.113536,1573094123.117636,120.68182373046875,-29.847309112548828,60.937713623046875,639.0,84.0
1573094123.217708,1573094123.248152,116.61195373535156,-29.630521774291992,61.56803512573242,639.0,81.0
1573094123.306942,1573094123.323159,116.346923828125,-29.870342254638672,61.18791580200195,639.0,83.0
1573094123.379628,1573094123.383654,115.91112518310547,-30.21730613708496,61.28071594238281,639.0,88.0
1573094123.507265,1573094123.529408,112.81415557861328,-30.209224700927734,61.04193115234375,639.0,88.0
1573094123.716462,1573094123.731392,108.74905395507812,-33.44458770751953,60.358028411865234,639.0,87.0
1573094123.8133721,1573094123.787284,107.16600799560547,-34.00826644897461,61.248756408691406,639.0,90.0
1573094123.9269981,1573094123.917272,102.75342559814453,-33.79990005493164,61.19662094116211,639.0,93.0
1573094123.97743,1573094123.985167,102.35320281982422,-34.94070816040039,61.19662094116211,639.0,100.0
1573094124.123172,1573094124.122169,99.7259750366211,-34.658119201660156,61.304447174072266,639.0,95.0
1573094124.186683,1573094124.181528,98.75829315185547,-34.98102951049805,61.76060485839844,639.0,97.0
1573094124.315964,1573094124.318303,96.28236389160156,-34.422977447509766,61.614253997802734,619.0,96.0
1573094124.4181,1573094124.400998,91.86212158203125,-33.381202697753906,61.32596969604492,617.0,94.0
1573094124.510454,1573094124.532046,91.86212921142578,-32.91510772705078,60.91498565673828,607.0,86.0
1573094124.607236,1573094124.581937,90.08248901367188,-31.828983306884766,61.45759582519531,604.0,87.0
1573094124.7150009,1573094124.717669,88.35751342773438,-30.71001434326172,61.56489181518555,599.0,87.0
1573094124.818573,1573094124.786801,87.00397491455078,-30.242734909057617,62.14728546142578,597.0,85.0
1573094124.898517,1573094124.917381,86.33075714111328,-29.61418914794922,62.441471099853516,591.0,83.0
1573094124.9828598,1573094124.986067,85.39938354492188,-29.397729873657227,61.96541976928711,589.0,84.0
1573094125.095952,1573094125.118034,84.06085968017578,-28.471553802490234,61.698299407958984,588.0,84.0
1573094125.187887,1573094125.182107,82.35960388183594,-28.634716033935547,62.282527923583984,587.0,85.0
1573094125.292332,1573094125.321177,81.3203125,-28.71164894104004,62.33237075805664,585.0,89.0
1573094125.409854,1573094125.394878,80.62798309326172,-29.513851165771484,62.48286056518555,586.0,91.0
1573094125.510107,1573094125.517421,77.23956298828125,-29.256568908691406,63.05037307739258,585.0,94.0
1573094125.616819,1573094125.586174,77.60074615478516,-30.783233642578125,62.85118103027344,585.0,98.0
1573094125.7171712,1573094125.725299,74.83403778076172,-31.159366607666016,62.96406555175781,584.0,98.0
1573094125.82099,1573094125.851028,72.19001007080078,-32.06462860107422,62.71464538574219,583.0,101.0
1573094125.900462,1573094125.920895,72.06981658935547,-31.55369758605957,62.98151397705078,582.0,100.0
1573094125.976976,1573094125.985532,73.77165985107422,-32.12753677368164,63.4394416809082,581.0,102.0
1573094126.113688,1573094126.132194,71.40377044677734,-31.782901763916016,62.66396713256836,581.0,104.0
1573094126.322947,1573094126.331548,71.22341918945312,-31.756980895996094,62.39030456542969,581.0,108.0
1573094126.382335,1573094126.391232,72.44392395019531,-32.215084075927734,62.96605682373047,580.0,111.0
